CASE_DESCRIPTION,CASE_TYPE,TITLE,LLM_Classification
"Bij werkzaamheden in de ketel is stellingbouw BIS een steiger op 80 meter hoogte aan het bouwen.
Onder de ketel nabij de astrog is Totalis OVO-bundels aan het klaarleggen om in de ketel omhoog te hijsen. 
Binnen enkele uren zijn 3 steiger klamps en een ratelsleutel (welke niet geborgd was) naar beneden gevallen. Standaard beheersmaatregel was dat tijdens activiteiten van Bilfinger op 80 meter hoogte Totalis de ketel en astrog verlaten heeft",Asset and Reputation damage/loss,Nearmiss vallend steiger materiaal van in ketel van 80 meter hoogte op vloer onder de astrog.,Non-Process Safety
Begehung: Zwischen der Schranke und dem Zaun gibt es einen nicht abgesperrten Bereich. Der Zaun wird durch IP erweitert. bis 31.01.2024,Asset and Reputation damage/loss,Begehung: Zwischen der Schranke und dem Zaun gibt es einen nicht abgesperrten Bereich. Der Zaun wird durch IP erweitert. bis 31.01.2024,Non-Process Safety
"Wie mit dem Kollegen Meixner besprochen ist es unguenstig, wenn Tagesausweise nach Schliessung der Pforte in den aussen montierten Briefkasten geschmissen werden. Dies ist z.B. fuer die INTRUSION-Tests von Oktober bis Dezember eine Schwachstelle.",Process Safety,Briefkasten,Non-Process Safety
Oskarshamn 3 - RA3-23 ERF - Vattenlackage i samband med aterstallning av AGO 116560 pa system 405,Process Safety,Oskarshamn 3 - RA3-23 ERF - Vattenlackage i samband med aterstallning av AGO 116560 pa system 405,Non-Process Safety
"On removing a fitting from a compressed air valve, the lower portion of the valve body became separated and the ball of the valve blew out of the bottom of the valve. The valve was in the closed position.",Process Safety,Release of compressed air when removing fitting from air valve,Non-Process Safety
"Beim Verlassen des Hintereinganges des Capricorn Gebaeudes: Staubwolken kommen aus den Lichtschaechten (aufgrund der Arbeiten in der Tiefgarage- / Keller - die MA dort tragen teilweise Schutzkleidung) muss man beim Verlassen des Gebaeudes teilweise durch Staubwolgen gehen die eingeatmet werden, so auch von mir. Die Beschriftung der externen Firma die dort arbeitet lautet ""Abtragen von Farben und Industriebelegen.",Process Safety,Staubentwicklung vor dem Hintereingang Capricorn,Non-Process Safety
"De hoofdtoevoerleiding IKW naar de generatorschakelaar is tijdens de SC-
stop afgekapt, de leiding hangt nu op aan een spanband. Dit is niet 
gewenst. Locatie: kelder EH2 thv de condensaatvoorwarmpompen",Process Safety,IKW leiding hangt op dmv spanband,Non-Process Safety
"High HV winding temperature alarm initiated at 12:42 @105oC , trip at 110oC. Load reduced at 14:07 to 300MW & O MVAR, temp reached 108oC. Load reduced to 230 MW @ 14:26 , temp peaked at 109oC. Unit MEL to 230 MW until 02:30 then O MW until 08:30. Electrical team investigated with the fault believed to be an instrument false reading however the instrument would initiate a unit trip. All 4 cooling fans put in service and attempt made to swap over the oil pumps. This resulted in both pumps stopping and neither would restart. Standby pump finally restarted some 30 minutes later. Temp now stable at 103oC.  Ovation schematic issue identified with Red phase labelled as 'A' phase ,  the Red phase at the TX is labelled 'C' phase.",Process Safety,Operational Loss - U2 Gen TX  high HV winding temperature  resulting in load drop and Unit Mel to zero.,Non-Process Safety
"Die Geruestbaukarten waren vorhanden und die Eintragungen fuer vor Benutzung waren
auch eingetragen.
Ort: UGB",Process Safety,"Ordnung beibehalten:
 Geruestbaukarten waren vorhanden und die Eintragungen vollstaendig",Non-Process Safety
Risiko Weniger: Am Hilfskessel 2 hat sich die Kesselspeisepumpe  nicht abgeschaltet. der Kessel wurde ueber speist. Es wurde eine SAP Meldung angelegt und eine Untersuchung durch die Produktion veranlasst.,Process Safety,Risiko Weniger: Am Hilfskessel 2 hat sich die Kesselspeisepumpe  nicht abgeschaltet. der Kessel wurde ueber speist. Es wurde eine SAP Meldung angelegt und eine Untersuchung durch die Produktion veranlasst.,Non-Process Safety
"Begehung: In der DENOX 4 wurde bei einem Rundgang festgestellt, Dass alle Ansaugfilter der Kuehlluftgeblaese nach dem Brand stark verschmutzt sind. Die Filter wurden durch P gewechselt.",Process Safety,"Begehung: In der DENOX 4 wurde bei einem Rundgang festgestellt, Dass alle Ansaugfilter der Kuehlluftgeblaese nach dem Brand stark verschmutzt sind. Die Filter wurden durch P gewechselt.",Non-Process Safety
Trailer caught loading bay roller shutter door while reversing,Process Safety,Subcontractors HGV caused damage to Customer loading bay,Non-Process Safety
Some rollers would be running in coal if conveyor was used - observation only,Operational loss,Ops Loss - Build up of coal on 2B Coal Conveyor,Non-Process Safety
"Im Eingangsbereich sind die Uniper Maschinen, besonders die Erregermaschinen stark mit grauem Staub verschmutzt. Der Staub stammt vermutlich von den Montagearbeiten an der Maschine 2 von EGS.",Process Safety,Starke Verschmutzung durch Staub im KW Dornau.,Non-Process Safety
Na reparatie SS klep molenlucht molen weer inbedrijf genomen en al vrij snel ontstond er rookontwikkeling nabij het nieuwe inlaat kanaal vd molen,Operational loss,Rookontwikkeling inlaatkanaal ML,Non-Process Safety
Oskarshamn  3 - Skyddsrond 250417 - Allman oordning utanfor stralskyddskontor turbin,Process Safety,Oskarshamn  3 - Skyddsrond 250417 - Allman oordning utanfor stralskyddskontor turbin,Non-Process Safety
Ausfall UEbergabestation Herne 4/RZR wegen Kabelfehler Shamrock/Herne 4 bis zum 18.1.22 ca. 13:00 Uhr. Versorgung konnte recht schnell durch Da 4 uebernommen werden.,Process Safety,Ausfall UEbergabestation Herne 4/RZR,Non-Process Safety
RW: Tankfeld; ein Teilstueck der Ruecklaufleitung am Bl 3 war nicht isoliert. Die Isolierung wurde neu angebracht. Durch I/MT,Process Safety,RW: Tankfeld; ein Teilstueck der Ruecklaufleitung am Bl 3 war nicht isoliert. Die Isolierung wurde neu angebracht. Durch I/MT,Non-Process Safety
Stalen balk boven toegang H2 hokken oude kant hangt op scherp. De stalen ligger is aan beide kanten boven de deuren losgekomen en hangt los aan de deurdrangers op ca 3 meter hoogte. Deuren staan open. Plaats is toegankelijk voor iedereen.,,Stalen balk boven toegang H2 hokken oude kant hangt op scherp,Non-Process Safety
"CDC was running smoothly at 417MW.  The Shift TL had received a phonecall from National Grid Switching desk 10 minutes earlier informing that switching was taking place in the Cottam substation on Breaker X220 West Burton Circuit.  The unti tripped off, 15ms after that switching opreation with opening of our x590 circuit breaker and a Transformer Restricted Earth fault Alarm standing.",Operational loss,Full load trip on 400KV Transformer protection,Non-Process Safety
In Leiden is een afsluiter op een pallet aangetroffen waar de asbestpakkingen nog aan zaten. Deze is vermoedelijk tijdens de laatste revisie weggehaald.,,ELD: Asbesthoudende pakkingen aangetroffen op een pallet.,Non-Process Safety
Einweisung seitens der Uniper steht noch aus.,Asset and Reputation damage/loss,FAA W15 Einweisung der Arbeitskraefte,Non-Process Safety
Oskarshamn 3 - WANO Peer Review - 23 - Water puddle (5 cm x 5 cm) in the room floor. The pudle was under the compresor 3.ZCK.104 in the dryer side.,Process Safety,Oskarshamn 3 - WANO Peer Review - 23 - Water puddle (5 cm x 5 cm) in the room floor. The pudle was under the compresor 3.ZCK.104 in the dryer side.,Non-Process Safety
"There have been multiple cases of low level hydrogen leaks detected on both SC10 and SC20 synchronous condensers during offline periods.

July 7th 2022

The synchronous condenser was shutdown due to the need for a Mod 2 400KV grid isolation for maintenance activities.

Whilst the SC20 Generator was at standstill a hydrogen leak alarm was received on the gas detector panel CYE01 in the Killingholme control room. Investigations at that time could not detect a genuine leak although the reading appeared to last for approximately 30 seconds and peaked at 20% LEL. This alarm was detected at both ends of the Generator on both HD005 and HD006. 

Later as the Hydrogen Purity Concentration procedure was being carried out these alarms were received again. This time a noticeable leak could be heard within the turbine hall also. These readings peaked at 40% LEL and the detection lasted for several minutes. 

To clarify the first alarm was received with the shaft at standstill and no work being carried out and the second alarm was received when the shaft was still at standstill but hydrogen filling was taking place.

A further leak alarm was detected when  SC20 was put on barring up to 200RPM using the oil system

Aug 21st 2022

Again a 400KV outage was required for maintenance activities on MOD1.

Again, Killingholme OPS took the opportunity to attempt to sweeten the generator hydrogen purity. There were similar leaks of hydrogen detected as there was on SC20 above but in slightly different.

* Whilst at standstill during the H2 sweetening process

* Whilst at standstill following completion of the sweetening process.

* Whilst on barring on the return to operation

19/12/2022

Leak alarms were once again raised when SC20 was stopped to carry out repairs on GT21 GCB.  Leaks stopped once the unit was put back on barring.",Process Safety,SC10/20 Generator Hydrogen Leak alarms.,Non-Process Safety
"Vermutlich gibt es seit dem letzten SAP-Update immer wieder SAP-Probleme im WCM-System.
Hierbei kommt es aus unserer Sicht bezueglich der Arbeitssicherheit zu Maengel bezueglich Freischaltwesen:
Ein Beispiel mit der FRS-Nummer 30744559:
Im KWS wird beim Freischalten fuer jede Komponente ein Freischaltaufkleber gedruckt, in diesem Beispiel wurde keiner gedruckt, obwohl dieser angestossen war.  Beim 2. Versuch waren die entsprechenden Positionen nicht mehr sichtbar. 
Weitere Beispiele befinden und Mailverkehr befinden sich im Anhang, Namen wurden aus Datenschutzrechtlichen Gruenden geschwaerzt!
Da fuer uns nicht nachvollziehbar ist, ob das System Querverweise sauber erkennt und entsprechend ausweist, Freischaltpapiere fehlen und wir uns bei Rueckschaltungen bei groesseren Baustellen mit Freischaltueberschneidungen ueber mehrere Arbeitserlaubnisse nicht mehr sicher sein koennen, ist eine akribische Aufarbeitung von Arbeitsauftraegen und Freischaltungen erforderlich, um sicher zu stellen, dass nicht u.U. Rueckschaltungen erfolgen, welche eigentlich durch andere Auftraege noch gesperrt sein sollten, was aber eventuell vom System nicht erkannt und beim Drucken/Bearbeiten auch nicht ausgewiesen wird. Hierdurch ist bei jedem Vorgang das „4-Augenprinzip“ notwendig, was zu einer deutlichen Mehrbelastung der MA fuehrt! Ab dem 10.08.22 beginnt die Revision von Block 4!
Bei Rueckfragen bitte melden.",Process Safety,SAP-Problem im WCM-System,Non-Process Safety
Bij KTS orders van Rema Tiptop waren een 2 tal werkvergunningen uitgegeven zonder dat de verstrekker had getekend.,Asset and Reputation damage/loss,Werkvergunning zonder handtekening verstrekker,Non-Process Safety
Der Heizluefter im Fernwirkraum hat keine Pruefplakette,Asset and Reputation damage/loss,Wivi DGUV V3 Pruefung,Non-Process Safety
"Das Sammelplatzschild am KW PIT ist durch Sonneneinstrahlung ausgeblichen.
Es wird geprueft ob ein Austausch erforderlich ist.",Asset and Reputation damage/loss,Sammelplatzschild verblichen,Non-Process Safety
"At 10:15hrs National grid called to query our EDL connection, as they sent 2 BOAI instructions through, that was accepted and we did not follow.
during the phone conversation they sent through a test MN instruction which was not received but was accepted at there end.

Genstar was reset and another test MN instruction was sent and received.

Update P.Clifton / P. Palfreyman 

Following a call from NGT we were informed of the missed BOAI times these times are as follows: 
BOAI NO. 54639636, 21:30hrs 374MW - 21:31hrs 379MW - 21:51hrs 379MW - 21:52hrs 374MW. 
BOAI NO. 55109637 21:46hrs 374MW - 21:47hrs 379MW - 22:02hrs 379MW - 22:03hrs 374MW 

The caller indicated that we may wish to put the above information into Genstar, this information has not been added to Genstar at this time. A call was made to Genstar helpline (Toby Scondling) requesting an investigation into the above issue, Toby indicated that there was nothing showing in terms of a reply from CDCL Genstar, he stated that he could see an instruction from NGT but could not see any acceptance of this instruction.",Operational loss,Genstar issues,Non-Process Safety
Druk achter camlock afblind dop met product waardoor een spuiter ontstond met heavies bij het loshalen. Welk over de persoon heen kwam die bezig was met de werkzaamheden. Er is geen mogelijkheid te controleren of er druk achter de dop stond.,Process Safety,Heavies spill over persoon door spuiter bij losmaken camlock.,Non-Process Safety
"Der Keller im Kesselhaus 0m sollte mehr gereinigt werden, da uns der Staub Schwierigkeiten an den Sperrluftgeblaesen und damit an den Muehlen machen kann.",Process Safety,"KGW2 Sicherheitsbegehung 23.03.2022
Reinigung Kesselhaus Keller 0m",Non-Process Safety
UMC Gázturbina csarnokban a járótácsot rögzítő lefogatók 3 ponton lazák voltak.,Asset and Reputation damage/loss,UMC - Gázturbina csarnok járórács,Non-Process Safety
Begehung: ISMS; Labor: Aushaenge und Dokumente nicht klassifiziert. durch P/CH,Information Security,Begehung: ISMS; Labor: Aushaenge und Dokumente nicht klassifiziert. durch P/CH,Non-Process Safety
"In de nacht van 14-3-2024 is de duwbak(Maurits)van de kade afgewaaid, waarschijnlijk is deze niet goed vast gezet door Firma de Jong.",Process Safety,"Duwbak(Maurits)houtpellets losgeslagen van de kade, hij zat nog aan 1 kant vast.",Non-Process Safety
"Az erős szélvihar a kerékpártároló lemezelését megbontotta, letépte.",Asset and Reputation damage/loss,Erős szélvihar okozta kár,Non-Process Safety
During a routine aerial survey a work crew were spotted working in the vicinity of the Enfield PS buried gas supply pipeline at woodgreen road. when a technician visited the site to check the works the crew had cut a 400mm deep trench over the pipeline to install fibre data links (pipeline depth at this point is between 1500mm and 2000mm). When questioned the crew said they were unaware of the pipeline.,Process Safety,Unauthorised road works over Enfield gas pipeline,Non-Process Safety
"Zufahrtsweg an Kraftwerk fuer LKW unpassierbar. Kiesweg durch Witterungsverhaeltnisse stark ausgespuellt, aufgeweicht. Externes Entsorgungsunternehmen geriet mit LKW in starke Schieflage.",Process Safety,Zufahrt Rechengutplatz Kraftwerk Lechblick,Non-Process Safety
"Wederom is er graffity kunstwerk geconstateerd op de  
schoorsteen (voet) van AK52. (zie foto's in de bijlage)

Nick Jager, Emil Mik en William de Jong zijn op de hoogte gebracht door 
Stephan de Bondt.

Hier is al een melding van, deze kan afgehandeld worden.",Asset and Reputation damage/loss,Graffity kunstwerk op schoorsteen AK52,Non-Process Safety
"Monday and Tuesday 15 and 16 November, City Plants’ C&I Engineers tried to carry out the PIPO tests of WKR 1 and 2 together the inspection body Lloyd's Register. This PIPO test (periodic inspection and periodic maintenance) is a four-yearly inspection of our installations in which the security and critical parts of our installations are tested, this for, among other things, insurance and major damages. The working party concluded ABB's Melody operating system in question and Honeywell's Fail Safe Controller with its hardware no longer work properly and may lead to unsafe situations. Specifically the E-stop did not work, as well as shut-offs for gas pressure and flame detectors and others.",Process Safety,Roca 1 GT  and aux burner gas supply E-stop failed,Non-Process Safety
Emergency equipment removed from the A site interceptors (they are part of emergency risk assessment controls). Suggestion that the 'intelligent pumps' sensors become blinded. No level indication to CCR from A site pits - require Ops weekly visual inspection. On a high level Ops currently raise a defect for maintenance to arrange emptying - it would be more efficient and effective if Ops managed emptying end to end.,Process Safety,Routine and emergency management of oil/water interceptors.,Non-Process Safety
WP6 DW B2 scaffold material,Safety,WP6 DW B2 scaffold material,Non-Process Safety
Hydranten am Verkehrsweg hinter den Bloecken (Zwischen REA und Kohlehalde): die gesichteten Hydranten hatte alle eine wiederkehrende Pruefung in 10/2022,Safety,die gesichteten Hydranten hatte alle eine wiederkehrende Pruefung in 10/2022,Non-Process Safety
"Verschmutzungen unter Bandtisch an Gipsanlagengebaeude 
reinigen",Safety,Verschmutzungen unter Bandtisch an Gipsanlagengebaeude,Non-Process Safety
Medewerker bij de ECA50 kettingtransporteur is in de installatie aan het werk zonder het dragen van helm en bril. Als ik vraag om naar me toe te komen springt de medewerker uit de installatie en springt over de handrailing op de stelling. Bij het aanspreken over het werken op hoogte vond de medewerker dat het zo moest en het wel acceptabel was.,Safety,Onveilige handeling bij ECA 50,Non-Process Safety
